nombre_piloto,apellido_piloto,antiguedad
Odille,MacCafferky,25
Verney,Hug,27
Janeta,Matzl,14
Cammi,Dyzart,24
Florance,Beeson,19
Virgie,Lenoir,17
Richardo,Prantoni,21
Delcine,Siflet,16
Brit,Klossmann,30
Cookie,Filpo,10
Mellisa,Gatfield,3
Tanya,Iacovini,24
Jennie,McCaskill,3
Reinold,Bilsborrow,2
Gaylor,Stuther,10
Jonell,Gabbett,9
Richy,Shannon,17
Dorotea,Coneybeare,28
Karlis,Howgill,21
Kirbie,Duffin,18
'Odille','MacCafferky',25
'Verney','Hug',27
'Janeta','Matzl',14
'Cammi','Dyzart',24
'Florance','Beeson',19
'Virgie','Lenoir',17
'Richardo','Prantoni',21
'Delcine','Siflet',16
'Brit','Klossmann',30
'Cookie','Filpo',10
'Mellisa','Gatfield',3
'Tanya','Iacovini',24
'Jennie','McCaskill',3
'Reinold','Bilsborrow',2
'Gaylor','Stuther',10
'Jonell','Gabbett',9
'Richy','Shannon',17
'Dorotea','Coneybeare',28
'Karlis','Howgill',21
'Kirbie','Duffin',18
